attack_id,name,description,created,modified,stix_id,url
T1174,Password Filter DLL Mitigation,Ensure only valid password filters are registered. Filter DLLs must be present in Windows installation directory (<code>C:\Windows\System32\</code> by default) of a domain controller and/or local computer with a corresponding entry in <code>HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\Notification Packages</code>. (Citation: Microsoft Install Password Filter n.d),2018-10-17T00:14:20.652Z,2025-04-18T17:59:39.912Z,course-of-action--00d7d21b-69d6-4797-88a2-c86f3fc97651,https://attack.mitre.org/mitigations/T1174
T1151,Space after Filename Mitigation,Prevent files from having a trailing space after the extension.,2018-10-17T00:14:20.652Z,2025-04-18T17:59:40.127Z,course-of-action--02f0f92a-0a51-4c94-9bda-6437b9a93f22,https://attack.mitre.org/mitigations/T1151
T1148,HISTCONTROL Mitigation,"Prevent users from changing the <code>HISTCONTROL</code> environment variable (Citation: Securing bash history). Also, make sure that the <code>HISTCONTROL</code> environment variable is set to “ignoredup” instead of “ignoreboth” or “ignorespace”.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:40.291Z,course-of-action--03c0c586-50ed-45a7-95f4-f496d7eb5330,https://attack.mitre.org/mitigations/T1148
T1081,Credentials in Files Mitigation,Establish an organizational policy that prohibits password storage in files. Ensure that developers and system administrators are aware of the risk associated with having plaintext passwords in software configuration files that may be left on endpoint systems or servers. Preemptively search for files containing passwords and remove when found. Restrict file shares to specific directories with access only to necessary users. Remove vulnerable Group Policy Preferences. (Citation: Microsoft MS14-025),2018-10-17T00:14:20.652Z,2025-04-18T17:59:40.502Z,course-of-action--0472af99-f25c-4abe-9fce-010fa3450e72,https://attack.mitre.org/mitigations/T1081
T1212,Exploitation for Credential Access Mitigation,"Update software regularly by employing patch management for internal enterprise endpoints and servers. Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization. Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing, if available. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape) Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software targeted for defense evasion.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:40.671Z,course-of-action--06160d81-62be-46e5-aa37-4b9c645ffa31,https://attack.mitre.org/mitigations/T1212
T1012,Query Registry Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information within the Registry, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:40.840Z,course-of-action--0640214c-95af-4c04-a574-2a1ba6dda00b,https://attack.mitre.org/mitigations/T1012
T1162,Login Item Mitigation,"Restrict users from being able to create their own login items. Additionally, holding the shift key during login prevents apps from opening automatically (Citation: Re-Open windows on Mac).",2018-10-17T00:14:20.652Z,2025-04-18T17:59:41.043Z,course-of-action--06824aa2-94a5-474c-97f6-57c2e983d885,https://attack.mitre.org/mitigations/T1162
T1166,Setuid and Setgid Mitigation,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimized across a system.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:41.210Z,course-of-action--073cc04d-ac46-4f5a-85d7-83a91ecd6a19,https://attack.mitre.org/mitigations/T1166
T1223,Compiled HTML File Mitigation,"Consider blocking download/transfer and execution of potentially uncommon file types known to be used in adversary campaigns, such as CHM files. (Citation: PaloAlto Preventing Opportunistic Attacks Apr 2016) Also consider using application whitelisting to prevent execution of hh.exe if it is not required for a given system or network to prevent potential misuse by adversaries.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:41.389Z,course-of-action--08e02f67-ea09-4f77-a70b-414963c29fc2,https://attack.mitre.org/mitigations/T1223
T1488,Data Destruction Mitigation,"Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery. Identify potentially malicious software and audit and/or block it by using whitelisting(Citation: Beechey 2010) tools, like AppLocker,(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker) or Software Restriction Policies(Citation: Corio 2008) where appropriate.(Citation: TechNet Applocker vs SRP)",2019-03-14T20:17:16.234Z,2025-04-18T17:59:41.583Z,course-of-action--0b3ee33e-430b-476f-9525-72d120c90f8d,https://attack.mitre.org/mitigations/T1488
T1084,Windows Management Instrumentation Event Subscription Mitigation,"Disabling WMI services may cause system instability and should be evaluated to assess the impact to a network. By default, only administrators are allowed to connect remotely using WMI; restrict other users that are allowed to connect, or disallow all users from connecting remotely to WMI. Prevent credential overlap across systems of administrator and privileged accounts. (Citation: FireEye WMI 2015)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:41.767Z,course-of-action--0bc3ce00-83bc-4a92-a042-79ffbc6af259,https://attack.mitre.org/mitigations/T1084
T1044,File System Permissions Weakness Mitigation,"Use auditing tools capable of detecting file system permissions abuse opportunities on systems within an enterprise and correct them. Limit privileges of user accounts and groups so that only authorized administrators can interact with service changes and service binary target path locations. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for service file system permissions weaknesses. (Citation: Powersploit) Identify and block potentially malicious software that may be executed through abuse of file, directory, and service permissions by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown programs. Deny execution from user directories such as file download directories and temp directories where able. (Citation: Seclists Kanthak 7zip Installer) Turn off UAC's privilege elevation for standard users <code>[HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System]</code>to automatically deny elevation requests, add: <code>""ConsentPromptBehaviorUser""=dword:00000000</code> (Citation: Seclists Kanthak 7zip Installer). Consider enabling installer detection for all users by adding: <code>""EnableInstallerDetection""=dword:00000001</code>. This will prompt for a password for installation and also log the attempt. To disable installer detection, instead add: <code>""EnableInstallerDetection""=dword:00000000</code>. This may prevent potential elevation of privileges through exploitation during the process of UAC detecting the installer, but will allow the installation process to continue without being logged.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:41.940Z,course-of-action--1022138b-497c-40e6-b53a-13351cbd4090,https://attack.mitre.org/mitigations/T1044
T1103,AppInit DLLs Mitigation,"Upgrade to Windows 8 or later and enable secure boot. Identify and block potentially malicious software that may be executed through AppInit DLLs by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown DLLs.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:42.128Z,course-of-action--10571bf2-8073-4edf-a71c-23bad225532e,https://attack.mitre.org/mitigations/T1103
T1159,Launch Agent Mitigation,Restrict user's abilities to create Launch Agents with group policy.,2018-10-17T00:14:20.652Z,2025-04-18T17:59:42.298Z,course-of-action--121b2863-5b97-4538-acb3-f8aae070ec13,https://attack.mitre.org/mitigations/T1159
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,2019-06-10T20:46:02.263Z,2024-10-17T18:54:36.723Z,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,https://attack.mitre.org/mitigations/M1031
T1117,Regsvr32 Mitigation,Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block regsvr32.exe from being used to bypass whitelisting. (Citation: Secure Host Baseline EMET),2018-10-17T00:14:20.652Z,2025-04-18T17:59:42.490Z,course-of-action--12c13879-b7bd-4bc5-8def-aacec386d432,https://attack.mitre.org/mitigations/T1117
T1147,Hidden Users Mitigation,"If the computer is domain joined, then group policy can help restrict the ability to create or hide users. Similarly, preventing the modification of the <code>/Library/Preferences/com.apple.loginwindow</code> <code>Hide500Users</code> value will force all users to be visible.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:42.668Z,course-of-action--12cba7de-0a22-4a56-b51e-c514c67c3b43,https://attack.mitre.org/mitigations/T1147
T1213,Data from Information Repositories Mitigation,To mitigate adversary access to information repositories for collection: * Develop and publish policies that define acceptable information to be stored * Appropriate implementation of access control mechanisms that include both authentication and appropriate authorization * Enforce the principle of least-privilege * Periodic privilege review of accounts * Mitigate access to [Valid Accounts](https://attack.mitre.org/techniques/T1078) that may be used to access repositories,2018-10-17T00:14:20.652Z,2025-04-18T17:59:42.836Z,course-of-action--13cad982-35e3-4340-9095-7124b653df4b,https://attack.mitre.org/mitigations/T1213
T1210,Exploitation of Remote Services Mitigation,"Segment networks and systems appropriately to reduce access to critical systems and services to controlled methods. Minimize available services to only those that are necessary. Regularly scan the internal network for available services to identify new and potentially vulnerable services. Minimize permissions and access for service accounts to limit impact of exploitation. Update software regularly by employing patch management for internal enterprise endpoints and servers. Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization. Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing, if available. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape) Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:43.041Z,course-of-action--14b63e6b-7531-4476-9e60-02cc5db48b62,https://attack.mitre.org/mitigations/T1210
M1016,Vulnerability Scanning,"Vulnerability scanning involves the automated or manual assessment of systems, applications, and networks to identify misconfigurations, unpatched software, or other security weaknesses. The process helps prioritize remediation efforts by classifying vulnerabilities based on risk and impact, reducing the likelihood of exploitation by adversaries. This mitigation can be implemented through the following measures: Proactive Identification of Vulnerabilities - Implementation: Use tools like Nessus or OpenVAS to scan endpoints, servers, and applications for missing patches and configuration issues. Schedule regular scans to ensure timely identification of vulnerabilities introduced by new deployments or updates. - Use Case: A scan identifies unpatched software, such as outdated Apache servers, which could be exploited via CVE-XXXX-XXXX. The server is promptly patched, mitigating the risk. Cloud Environment Scanning - Implementation: Use cloud-specific vulnerability management tools like AWS Inspector, Azure Security Center, or GCP Security Command Center to identify issues like open S3 buckets or overly permissive IAM roles. - Use Case: The scan detects a misconfigured S3 bucket with public read access, which is remediated to prevent potential data leakage. Network Device Scanning - Implementation: Use tools to scan network devices for vulnerabilities, such as weak SNMP strings or outdated firmware. Correlate scan results with vendor advisories to prioritize updates. - Use Case: Scanning detects a router running outdated firmware vulnerable to CVE-XXXX-YYYY. The firmware is updated to a secure version. Web Application Scanning - Implementation: Use dynamic application security testing (DAST) tools such as OWASP ZAP or Burp Suite to scan for common vulnerabilities like SQL injection or cross-site scripting (XSS). Perform regular scans post-deployment to identify newly introduced vulnerabilities. - Use Case: A scan identifies a cross-site scripting vulnerability in a form input field, which is promptly remediated by developers. Prioritizing Vulnerabilities - Implementation: Use vulnerability scoring frameworks like CVSS to assess severity. Integrate vulnerability scanning tools with ticketing systems to assign remediation tasks based on criticality. - Use Case: A critical vulnerability with a CVSS score of 9.8 affecting remote access servers is prioritized and patched first. *Tools for Implementation* Open Source Tools: - OpenVAS: Comprehensive network and system vulnerability scanning. - OWASP ZAP: Dynamic scanning of web applications for vulnerabilities. - Nmap with NSE Scripts: Network scanning with scripts to detect vulnerabilities.",2019-06-06T16:47:30.700Z,2024-12-24T14:41:01.585Z,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,https://attack.mitre.org/mitigations/M1016
T1482,Domain Trust Discovery Mitigation,Map the trusts within existing domains/forests and keep trust relationships to a minimum. Employ network segmentation for sensitive domains.(Citation: Harmj0y Domain Trusts),2019-02-15T13:04:25.150Z,2025-04-18T17:59:43.219Z,course-of-action--159b4ee4-8fa1-44a5-b095-2973f3c7e25e,https://attack.mitre.org/mitigations/T1482
T1072,Third-party Software Mitigation,"Evaluate the security of third-party software that could be used in the enterprise environment. Ensure that access to management systems for third-party systems is limited, monitored, and secure. Have a strict approval policy for use of third-party systems. Grant access to Third-party systems only to a limited number of authorized administrators. Ensure proper system and access isolation for critical network systems through use of firewalls, account privilege separation, group policy, and multi-factor authentication. Verify that account credentials that may be used to access third-party systems are unique and not used throughout the enterprise network. Ensure that any accounts used by third-party providers to access these systems are traceable to the third-party and are not used throughout the network or used by other third-party providers in the same environment. Ensure third-party systems are regularly patched by users or the provider to prevent potential remote access through [Exploitation for Privilege Escalation](https://attack.mitre.org/techniques/T1068). Ensure there are regular reviews of accounts provisioned to these systems to verify continued business need, and ensure there is governance to trace de-provisioning of access that is no longer required. Where the third-party system is used for deployment services, ensure that it can be configured to deploy only signed binaries, then ensure that the trusted signing certificates are not co-located with the third-party system and are instead located on a system that cannot be accessed remotely or to which remote access is tightly controlled.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:43.392Z,course-of-action--160af6af-e733-4b6a-a04a-71c620ac0930,https://attack.mitre.org/mitigations/T1072
T1009,Binary Padding Mitigation,"Identify potentially malicious software that may be executed from a padded or otherwise obfuscated binary, and audit and/or block it by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:43.580Z,course-of-action--16a8ac85-a06f-460f-ad22-910167bd7332,https://attack.mitre.org/mitigations/T1009
T1123,Audio Capture Mitigation,"Mitigating this technique specifically may be difficult as it requires fine-grained API control. Efforts should be focused on preventing unwanted or unknown code from executing on a system. Identify and block potentially malicious software that may be used to record audio by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:43.746Z,course-of-action--16dd03c6-0dfb-4d77-89cd-9ff3ee6e533d,https://attack.mitre.org/mitigations/T1123
T1033,System Owner/User Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about system users, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:43.918Z,course-of-action--16f144e4-c780-4ed2-98b4-55d14e2dfa44,https://attack.mitre.org/mitigations/T1033
T1120,Peripheral Device Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about peripheral devices, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:44.150Z,course-of-action--1881da33-fdf2-4eea-afd0-e04caf9c000f,https://attack.mitre.org/mitigations/T1120
T1115,Clipboard Data Mitigation,"Instead of blocking software based on clipboard capture behavior, identify potentially malicious software that may contain this functionality, and audit and/or block it by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:44.345Z,course-of-action--19edfa02-1a5f-47e4-ad82-3288f57f64cf,https://attack.mitre.org/mitigations/T1115
T1144,Gatekeeper Bypass Mitigation,"Other tools should be used to supplement Gatekeeper's functionality. Additionally, system settings can prevent applications from running that haven't been downloaded through the Apple Store which can help mitigate some of these issues.",2018-10-17T00:14:20.652Z,2025-04-18T17:59:44.547Z,course-of-action--1a7f5bd3-f6ee-4bd7-b949-2f3632ad6158,https://attack.mitre.org/mitigations/T1144
T1029,Scheduled Transfer Mitigation,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. (Citation: University of Birmingham C2)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:44.718Z,course-of-action--1c0711c8-2a73-48a1-893d-ff88bcd23824,https://attack.mitre.org/mitigations/T1029
T1217,Browser Bookmark Discovery Mitigation,"File system activity is a common part of an operating system, so it is unlikely that mitigation would be appropriate for this technique. For example, mitigating accesses to browser bookmark files will likely have unintended side effects such as preventing legitimate software from operating properly. Efforts should be focused on preventing adversary tools from running earlier in the chain of activity and on identification of subsequent malicious behavior. It may still be beneficial to identify and block unnecessary system utilities or potentially malicious software by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)",2018-10-17T00:14:20.652Z,2025-04-18T17:59:44.887Z,course-of-action--1c0b39f9-a0c5-42b2-abd8-dc8f1eb74e67,https://attack.mitre.org/mitigations/T1217
T1013,Port Monitors Mitigation,Identify and block potentially malicious software that may persist in this manner by using whitelisting (Citation: Beechey 2010) tools capable of monitoring DLL loads by processes running under SYSTEM permissions.,2018-10-17T00:14:20.652Z,2025-04-18T17:59:45.094Z,course-of-action--1c6bc7f3-d517-4971-aed4-8f939090846b,https://attack.mitre.org/mitigations/T1013
