attack_id,name,platforms,collection_layers,description,created,modified,stix_id,url
DS0014,Pod,Containers,Container,"A single unit of shared resources within a cluster, comprised of one or more containers(Citation: Kube Kubectl)(Citation: Kube Pod)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf,https://attack.mitre.org/datasources/DS0014
DS0032,Container,Containers,Container,A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another(Citation: Docker Docs Container),2021-10-20T15:05:19.274Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967,https://attack.mitre.org/datasources/DS0032
DS0002,User Account,Containers | IaaS | Linux | SaaS | Windows | macOS | Office Suite | Identity Provider | ESXi,Cloud Control Plane | Container | Host,"A profile representing a user, device, service, or application used to authenticate and access resources",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6,https://attack.mitre.org/datasources/DS0002
DS0024,Windows Registry,Windows,Host,"A Windows OS hierarchical database that stores much of the information and settings for software programs, hardware devices, user preferences, and operating-system configurations(Citation: Microsoft Registry)",2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0,https://attack.mitre.org/datasources/DS0024
DS0012,Script,Windows | ESXi,Host,"A file or stream containing a list of commands, allowing them to be launched in sequence(Citation: Microsoft PowerShell Logging)(Citation: FireEye PowerShell Logging)(Citation: Microsoft AMSI)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--12c1e727-7fa4-49b6-af81-366ed2ce231e,https://attack.mitre.org/datasources/DS0012
DS0007,Image,IaaS,Cloud Control Plane,A single file used to deploy a virtual machine/bootable disk into an on-premise or third-party cloud environment(Citation: Microsoft Image)(Citation: Amazon AMI),2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52,https://attack.mitre.org/datasources/DS0007
DS0006,Web Credential,Linux | SaaS | Windows | macOS | Office Suite | Identity Provider,Cloud Control Plane | Host,"Credential material, such as session cookies or tokens, used to authenticate to web applications and services(Citation: Medium Authentication Tokens)(Citation: Auth0 Access Tokens)",2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--1e26f222-e27e-4bfa-830c-fa4b4f18b5e4,https://attack.mitre.org/datasources/DS0006
DS0023,Named Pipe,Linux | Windows | macOS,Host,Mechanisms that allow inter-process communication locally or over the network. A named pipe is usually found as a file and processes attach to it(Citation: Microsoft Named Pipes),2021-10-20T15:05:19.273Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--221adcd5-cccf-44df-9be6-ef607a6e1c3c,https://attack.mitre.org/datasources/DS0023
DS0037,Certificate,PRE,OSINT,"A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications",2021-10-20T15:05:19.275Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--29aa4e0e-4a26-4f79-a9bc-1ae66df1c923,https://attack.mitre.org/datasources/DS0037
DS0005,WMI,Windows,Host,The infrastructure for management data and operations that enables local and remote management of Windows personal computers and servers(Citation: Microsoft WMI System Classes)(Citation: Microsoft WMI Architecture),2021-10-20T15:05:19.271Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--2cd6cc81-d86e-4595-a4f0-43f5519f14e6,https://attack.mitre.org/datasources/DS0005
DS0010,Cloud Storage,IaaS,Cloud Control Plane,"Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)",2021-10-20T15:05:19.272Z,2025-10-21T15:10:28.402Z,x-mitre-data-source--2ce537a2-3b30-4374-9397-31d6460ec0bc,https://attack.mitre.org/datasources/DS0010
