attack_id,name,aliases,platforms,description,created,modified,stix_id,url
S0039,Net,Net | net.exe,Windows,"The [Net](https://attack.mitre.org/software/S0039) utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility) [Net](https://attack.mitre.org/software/S0039) has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002) using <code>net use</code> commands, and interacting with services. The net1.exe utility is executed for certain functionality when net.exe is run and can be used directly in commands such as <code>net1 user</code>.",2017-05-31T21:32:31.601Z,2024-11-27T21:55:29.681Z,tool--03342581-f790-4f03-ba41-e82e67392e23,https://attack.mitre.org/software/S0039
S0592,RemoteUtilities,RemoteUtilities,Windows,[RemoteUtilities](https://attack.mitre.org/software/S0592) is a legitimate remote administration tool that has been used by [MuddyWater](https://attack.mitre.org/groups/G0069) since at least 2021 for execution on target machines.(Citation: Trend Micro Muddy Water March 2021),2021-03-18T14:57:34.628Z,2025-04-25T14:45:11.980Z,tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b,https://attack.mitre.org/software/S0592
S1155,Covenant,Covenant,Linux | macOS | Windows,"[Covenant](https://attack.mitre.org/software/S1155) is a multi-platform command and control framework written in .NET. While designed for penetration testing and security research, the tool has also been used by threat actors such as [HAFNIUM](https://attack.mitre.org/groups/G0125) during operations. [Covenant](https://attack.mitre.org/software/S1155) functions through a central listener managing multiple deployed ""Grunts"" that communicate back to the controller.(Citation: Github Covenant)(Citation: Microsoft HAFNIUM March 2020)",2024-09-04T17:08:08.985Z,2024-09-06T18:11:55.619Z,tool--05fb53c8-e2ac-4e17-a0c9-a0825e1198bf,https://attack.mitre.org/software/S1155
S1131,NPPSPY,NPPSPY,Windows,NPPSPY is an implementation of a theoretical mechanism first presented in 2004 for capturing credentials submitted to a Windows system via a rogue Network Provider API item. NPPSPY captures credentials following submission and writes them to a file on the victim system for follow-on exfiltration.(Citation: Huntress NPPSPY 2022)(Citation: Polak NPPSPY 2004),2024-05-17T18:49:15.318Z,2024-10-28T19:00:14.732Z,tool--0630d1a7-54da-4a48-a6af-eb8a62b13c17,https://attack.mitre.org/software/S1131
S0521,BloodHound,BloodHound,Windows,[BloodHound](https://attack.mitre.org/software/S0521) is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.(Citation: GitHub Bloodhound)(Citation: CrowdStrike BloodHound April 2018)(Citation: FoxIT Wocao December 2019),2020-10-28T12:51:29.358Z,2025-03-12T20:27:03.654Z,tool--066b057c-944e-4cfc-b654-e3dfba04b926,https://attack.mitre.org/software/S0521
S0160,certutil,certutil | certutil.exe,Windows,[certutil](https://attack.mitre.org/software/S0160) is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services. (Citation: TechNet Certutil),2017-12-14T16:46:06.044Z,2024-11-27T21:56:15.800Z,tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,https://attack.mitre.org/software/S0160
S0110,at,at | at.exe,Linux | Windows | macOS,[at](https://attack.mitre.org/software/S0110) is used to schedule tasks on a system to run at a specified date or time.(Citation: TechNet At)(Citation: Linux at),2017-05-31T21:33:06.824Z,2025-04-16T20:38:49.779Z,tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952,https://attack.mitre.org/software/S0110
S0116,UACMe,,,[UACMe](https://attack.mitre.org/software/S0116) is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. (Citation: Github UACMe),2017-05-31T21:33:09.047Z,2025-04-25T14:45:13.232Z,tool--102c3898-85e0-43ee-ae28-62a0a3ed9507,https://attack.mitre.org/software/S0116
S0445,ShimRatReporter,ShimRatReporter,Windows,"[ShimRatReporter](https://attack.mitre.org/software/S0445) is a tool used by suspected Chinese adversary [Mofang](https://attack.mitre.org/groups/G0103) to automatically conduct initial discovery. The details from this discovery are used to customize follow-on payloads (such as [ShimRat](https://attack.mitre.org/software/S0444)) as well as set up faux infrastructure which mimics the adversary's targets. [ShimRatReporter](https://attack.mitre.org/software/S0445) has been used in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development.(Citation: FOX-IT May 2016 Mofang)",2020-05-12T21:29:48.294Z,2025-04-25T14:45:13.595Z,tool--115f88dd-0618-4389-83cb-98d33ae81848,https://attack.mitre.org/software/S0445
S0633,Sliver,Sliver,Windows | Linux | macOS,"[Sliver](https://attack.mitre.org/software/S0633) is an open source, cross-platform, red team command and control (C2) framework written in Golang. [Sliver](https://attack.mitre.org/software/S0633) includes its own package manager, ""armory,"" for staging and downloading additional tools and payloads to the primary C2 framework.(Citation: Bishop Fox Sliver Framework August 2019)(Citation: Cybereason Sliver Undated)",2021-07-30T15:43:17.770Z,2025-03-24T16:00:41.005Z,tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be,https://attack.mitre.org/software/S0633
